Date,Close,Tomorrow,Low,Open,Volume,VWAP,Adjusted_Close,Market_Cap,SMA_50,EMA_50,RSI,MACD,MACD_Signal,MACD_Hist,High
,MSFT,,MSFT,MSFT,MSFT,,,,,,,,,,MSFT
2020-03-13,152.0286865234375,129.6211395263672,134.70374714006678,141.1838506811791,92727400,159.75935092184403,152.0286865234375,14097224826.733398,161.2564208984375,159.49097563815366,46.398595307906376,-5.322767169213307,-3.192345217227796,-2.130421951985511,154.97679851403672
2020-03-16,129.6211395263672,140.29367065429688,129.2191262196637,134.00501978335495,87905900,158.73904257446588,129.6211395263672,11394462929.090881,160.78237854003908,158.31960951612282,36.89603325115964,-6.777456516725181,-3.9093674771272733,-2.8680890395979075,142.95464658961282
2020-03-17,140.29367065429688,134.3878936767578,129.21910753838486,134.0050004101769,81059800,157.97141610558523,140.29367065429688,11372176884.503174,160.55996948242188,157.61270995291397,42.894892006279015,-6.988564416773158,-4.52520686505645,-2.463357551716708,141.18383971786494
2020-03-18,134.3878936767578,136.59901428222656,129.2382818177403,132.09067046730803,81593200,157.16796925560178,134.3878936767578,10965138286.346436,160.21161712646483,156.7019328440451,40.59514346208261,-7.545436696594209,-5.129252831364002,-2.416183865230207,139.7481006393259
2020-03-19,136.59901428222656,131.46847534179688,133.0478739539187,136.65644268232242,85922700,156.49487966452745,136.59901428222656,11736956124.467468,159.93517028808594,155.9135830965228,41.85212442125512,-7.71935907041555,-5.647274079174311,-2.0720849912412387,143.7204133965548
2020-03-20,131.46847534179688,130.15713500976562,130.0422740914704,139.7480636836393,84866200,155.75221081704728,131.46847534179688,11157229922.052002,159.508193359375,154.9549514198669,39.75036451551865,-8.17692689620253,-6.153204642579955,-2.0237222536225756,140.8009658960125
2020-03-23,130.15713500976562,141.9879150390625,126.84530540908241,131.14302774685214,78975200,154.99664675239435,130.15713500976562,10279185768.823242,159.01680572509767,153.98248803123548,39.2083864885943,-8.546844200485964,-6.631932554161158,-1.9149116463248061,134.55059564997975
2020-03-24,141.9879150390625,140.62869262695312,135.22066778616053,137.59446737731713,82516700,154.54578904366136,141.9879150390625,11716374188.903809,158.77635314941406,153.5121126197777,46.319531078144294,-7.79549958810901,-6.864645960950729,-0.9308536271582808,143.19396980491564
2020-03-25,140.62869262695312,149.42515563964844,138.2548935442496,142.5334834948533,75638200,154.21182697065106,140.62869262695312,10636901178.656006,158.47167877197265,153.00688046319635,45.658713870488846,-7.226429675809783,-6.93700270392254,-0.2894269718872424,147.72139028792844
2020-03-26,149.42515563964844,143.2896728515625,142.01658782883592,142.04530201913704,64568100,154.05199103224373,149.42515563964844,9648098391.856384,158.3648880004883,152.86642066619447,50.57323918635358,-5.996512556319772,-6.748904674401987,0.7523921180822155,149.95160680414702
2020-03-27,143.2896728515625,153.36871337890625,142.81108342012416,145.2518924415378,57042300,153.8708195172574,143.2896728515625,8173572505.700684,158.11534271240234,152.49086192836575,47.35621731824465,-5.454006174500336,-6.489924974421657,1.0359187999213217,148.257433486755
2020-03-30,153.36871337890625,150.95668029785156,143.58634753140663,145.91229897847097,63420300,153.79327147236583,153.36871337890625,9726689813.104248,158.01029479980468,152.52528747544577,52.681242957196396,-4.162785620471908,-6.024497103631708,1.8617114831597998,153.72287937037808
2020-03-31,150.95668029785156,145.59645080566406,149.85591587579952,152.57430025836976,77927200,153.76912545626405,150.95668029785156,11763631416.906738,157.83925018310546,152.4637734684813,51.34279083951958,-3.2961193282491763,-5.478821548555202,2.182702220306026,157.72392705769573
2020-04-01,145.59645080566406,148.61158752441406,144.36169672460142,146.4483392537087,57969900,153.64293113723838,145.59645080566406,8440211693.559265,157.57245635986328,152.19446669739042,48.399887577603764,-3.007141317158016,-4.984485502275765,1.9773441851177491,150.99493802138917
2020-04-02,148.61158752441406,147.24282836914062,143.92141685856092,145.3571851773393,49630700,153.54066269968055,148.61158752441406,7375697116.947937,157.3812384033203,152.0539616317835,50.13142461406764,-2.505940899939503,-4.488776581808513,1.9828356818690098,148.82216804626614
2020-04-03,147.24282836914062,158.19293212890625,145.67305559542183,148.45844963217235,41243300,153.46752072365877,147.24282836914062,6072780143.276978,157.1431719970703,151.86528973913084,49.3222747851056,-2.193893543850635,-4.029799974216938,1.835906430366303,150.64081630282067
2020-04-06,158.19293212890625,156.48915100097656,150.83222538941226,153.45490035648226,67111700,153.52212251013125,158.19293212890625,10616596603.155518,157.15618133544922,152.11343257794556,55.509076553492456,-1.0508978105934261,-3.4340195414922356,2.3831217308988095,159.37025787232824
2020-04-07,156.48915100097656,158.0589599609375,156.2689893839847,162.32793231073012,62769000,153.61560851318984,156.48915100097656,9822667519.180298,157.18780731201173,152.28502937884875,54.396323263430055,-0.2793264535960702,-2.8030809239130026,2.5237544703169323,162.72037908322392
2020-04-08,158.0589599609375,158.06851196289062,156.49875364536553,158.57583015210966,48318200,153.67860918732097,158.0589599609375,7637124439.18457,157.19011932373047,152.51145802912674,55.28572658315459,0.45359115286424867,-2.1517465085575527,2.6053376614218013,159.53300907348805
2020-04-09,158.06851196289062,158.4226531982422,156.33602061130526,159.23627130806562,51385100,153.7462407097081,158.06851196289062,8122366294.064331,157.14336639404297,152.72938171280376,55.29144034123909,1.0234072019235327,-1.5167157664613355,2.5401229683848685,160.20301667185575
2020-04-13,158.4226531982422,166.2619171142578,155.3501175210317,157.31233692350142,41905300,153.79046225761914,158.4226531982422,6638748809.068298,157.01320281982422,152.95264726125234,55.51838657550072,1.4864321001385292,-0.9160861931413626,2.4025182932798916,158.48009619305355
2020-04-14,166.2619171142578,164.51986694335938,160.80600210671437,161.7631806906829,52874300,153.9501765582244,166.2619171142578,8790982484.074402,157.0885073852539,153.4745794123506,60.32000241002429,2.457615884346467,-0.24134577764379683,2.6989616619902637,166.30977896453348
2020-04-15,164.51986694335938,169.45892333984375,161.99291595443174,163.86897788274868,40940800,154.06781843276107,164.51986694335938,6735574968.5546875,157.04974029541015,153.9077279429784,58.80098914350282,3.051540876752881,0.41723155323553873,2.6343093235173423,166.13750115848333
2020-04-16,169.45892333984375,170.95213317871094,165.49620380864962,166.83626285245634,50479600,154.264906334957,169.45892333984375,8554218666.625977,157.0001708984375,154.51757874285545,61.74259030582845,3.876090131756655,1.109003268939762,2.767086862816893,169.68865150302491
2020-04-17,170.95213317871094,167.5636749267578,168.33902463579403,171.81358822458955,52765600,154.49833593847313,170.95213317871094,9020391878.45459,156.98466522216796,155.1620710736733,62.61173846028842,4.597048992404183,1.8066124136326462,2.7904365787715366,172.29217760683073
2020-04-20,167.5636749267578,160.6337432861328,167.4966800229381,169.06645226353896,36669600,154.63878319292473,167.5636749267578,6144492934.094238,156.83017974853516,155.64840847967662,59.31841945104029,4.839210415919183,2.4131320140899537,2.4260784018292294,171.0956661194561
2020-04-21,160.6337432861328,166.08966064453125,158.99696121305,166.07051152310385,56203700,154.74787762195496,160.6337432861328,9028210717.530823,156.53213165283202,155.84391180542002,53.15993340857776,4.42097527023671,2.8147006653193047,1.606274604917405,166.23323015638763
2020-04-22,166.08966064453125,164.07957458496094,163.50528094286486,164.05086523508652,34620200,154.84466211622683,166.08966064453125,5750057269.445801,156.25137268066408,156.24570587754204,56.949472442107925,4.478146551978966,3.1473898426512372,1.330756709327729,166.5491023546214
2020-04-23,164.07957458496094,167.07554626464844,163.59141869523893,166.65438768105864,32790800,154.93213076498495,164.07957458496094,5380300514.300537,156.01174072265624,156.55291641508788,55.178268774070496,4.311557112102122,3.3802232965414145,0.9313338155607074,167.56370454484113
2020-04-24,167.07554626464844,166.59695434570312,163.39998353425372,164.69216602575494,34277600,155.02884702970272,167.07554626464844,5726948744.641113,155.82687377929688,156.96556856605105,57.30944019153593,4.370898658018689,3.5783583688368696,0.7925402891818192,167.08511279378087
2020-04-27,166.59695434570312,162.53851318359375,165.87907032634968,169.02818179820954,33194400,155.1329064612819,166.59695434570312,5530085941.333008,155.6515264892578,157.34326996917468,56.84446447093746,4.329402238544361,3.728567142778368,0.6008350957659929,169.3249048560136
2020-04-28,162.53851318359375,169.8321990966797,162.13649988106928,168.07100491727823,34392700,155.2127364570181,162.53851318359375,5590138322.369385,155.36370056152344,157.54700499719112,52.92317774329923,3.9238025894028397,3.767614232103263,0.1561883572995768,168.14758096614784
2020-04-29,169.8321990966797,171.53598022460938,164.51986932861183,165.8024852010101,51286600,155.37893360234054,169.8321990966797,8710116062.191772,155.18585632324218,158.02877731481811,58.46809149533917,4.143141881980824,3.8427197620787754,0.3004221199020489,170.07149375669667
2020-04-30,171.53598022460938,167.09469604492188,168.6835775324089,172.29214487853974,53875900,155.5866040370173,171.53598022460938,9241655316.983032,155.03136779785157,158.55847154657462,59.663288708036895,4.4036877780293935,3.954913365268899,0.44877441276049446,172.67501046944872
2020-05-01,167.09469604492188,171.1818389892578,166.55866369356815,168.27202178019542,39370500,155.7083751808484,167.09469604492188,6578601730.636597,154.84280395507812,158.89322544847062,55.20360018333013,4.203344226092042,4.004599537433528,0.1987446886585147,170.99040583781405
2020-05-04,171.1818389892578,173.01962280273438,166.3576646609175,167.01812031538887,30372900,155.8111378787637,171.1818389892578,5199288877.436829,154.84759094238282,159.37513186183483,58.29318625967041,4.324518439067191,4.068583317760261,0.25593512130692986,171.33499108993863
2020-05-05,173.01962280273438,174.723388671875,172.19644850678958,172.88561836411026,36839200,155.96964429046255,173.01962280273438,6373904488.354492,155.03653839111328,159.91020993794854,59.64108103646645,4.516777076073538,4.158222069422917,0.35855500665062134,175.78586876142296
2020-05-06,174.723388671875,175.738037109375,173.85236717889725,174.28309466098733,32139300,156.11560259689188,174.723388671875,5615487405.541992,155.31354461669923,160.49111890790644,60.90260913779003,4.7518467661259365,4.27694700876352,0.4748997573624161,176.3123087755195
